Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
V350002156_L1_TRYlhwR021518-521	23789020	23729039	59639	0	220	0	0	0	0	0	122	0	0	99.74786266941639
V350002156_L1_TRYlhwR021519-522	34834889	34791303	43236	0	268	0	0	0	0	0	82	0	0	99.87487831524308
V350002156_L1_TRYlhwR021520-523	26143688	26083734	59714	0	170	0	0	0	0	0	70	0	0	99.77067504783564
V350002156_L1_TRYlhwR021522-525	23486288	23421728	64353	0	141	0	0	0	0	0	66	0	0	99.725116203974
V350002156_L1_TRYlhwR021523-526	24248045	24205377	41690	0	292	0	0	0	0	0	686	0	0	99.82403529851582
V350002156_L1_TRYlhwR021524-527	29548195	29511860	35725	0	181	0	0	0	0	0	429	0	0	99.87703140581007
V350002156_L1_TRYlhwR021525-528	25217516	25180176	36116	0	347	0	0	0	0	0	877	0	0	99.85192831839584
V350002156_L1_TRYlhwR021526-529	20273652	20232476	40551	0	214	0	0	0	0	0	411	0	0	99.79689895042097
V350002156_L1_TRYlhwR021527-530	17941028	17891476	48495	0	325	0	0	0	0	0	732	0	0	99.7238062389736
