Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
1-Amp	23789020	23789020	59931	23728917	172	256	115268	3989	93	99.76	46.5	57634.0	1994.5
10-Amp	17941028	17941028	49269	17891205	554	683	95391	1616	165	99.73	82.5	47695.5	808.0
2-Amp	34834889	34834889	43584	34791113	192	314	81244	5248	48	99.88	24.0	40622.0	2624.0
3-Amp	26143688	26143688	60008	26083494	186	275	117363	2038	65	99.78	32.5	58681.5	1019.0
5-Amp	23486288	23486288	64630	23421511	147	265	126711	1929	90	99.73	45.0	63355.5	964.5
6-Amp	24248045	24248045	42337	24205076	632	563	81443	1964	141	99.83	70.5	40721.5	982.0
7-Amp	29548195	29548195	36300	29511399	496	539	69714	1740	68	99.88	34.0	34857.0	870.0
8-Amp	25217516	25217516	36992	25179710	814	769	70733	1541	172	99.86	86.0	35366.5	770.5
9-Amp	20273652	20273652	41229	20232038	385	635	79656	1447	85	99.8	42.5	39828.0	723.5
