Sample	command
V350002156_L1_TRYlhwR021518-521_1	fastp -i /tmp/44370.1.all.q/1-Amp/data/V350002156_L1_TRYlhwR021518-521_1.fq.gz -I /tmp/44370.1.all.q/1-Amp/data/V350002156_L1_TRYlhwR021518-521_2.fq.gz -o /tmp/44370.1.all.q/1-Amp/data/V350002156_L1_TRYlhwR021518-521_f1.fastq.gz -O /tmp/44370.1.all.q/1-Amp/data/V350002156_L1_TRYlhwR021518-521_f2.fastq.gz -h /tmp/44370.1.all.q/1-Amp/fastp/fastp_V350002156_L1_TRYlhwR021518-521_.html -j /tmp/44370.1.all.q/1-Amp/fastp/V350002156_L1_TRYlhwR021518-521__fastp.json 
V350002156_L1_TRYlhwR021519-522_1	fastp -i /tmp/44371.1.all.q/2-Amp/data/V350002156_L1_TRYlhwR021519-522_1.fq.gz -I /tmp/44371.1.all.q/2-Amp/data/V350002156_L1_TRYlhwR021519-522_2.fq.gz -o /tmp/44371.1.all.q/2-Amp/data/V350002156_L1_TRYlhwR021519-522_f1.fastq.gz -O /tmp/44371.1.all.q/2-Amp/data/V350002156_L1_TRYlhwR021519-522_f2.fastq.gz -h /tmp/44371.1.all.q/2-Amp/fastp/fastp_V350002156_L1_TRYlhwR021519-522_.html -j /tmp/44371.1.all.q/2-Amp/fastp/V350002156_L1_TRYlhwR021519-522__fastp.json 
V350002156_L1_TRYlhwR021520-523_1	fastp -i /tmp/44372.1.all.q/3-Amp/data/V350002156_L1_TRYlhwR021520-523_1.fq.gz -I /tmp/44372.1.all.q/3-Amp/data/V350002156_L1_TRYlhwR021520-523_2.fq.gz -o /tmp/44372.1.all.q/3-Amp/data/V350002156_L1_TRYlhwR021520-523_f1.fastq.gz -O /tmp/44372.1.all.q/3-Amp/data/V350002156_L1_TRYlhwR021520-523_f2.fastq.gz -h /tmp/44372.1.all.q/3-Amp/fastp/fastp_V350002156_L1_TRYlhwR021520-523_.html -j /tmp/44372.1.all.q/3-Amp/fastp/V350002156_L1_TRYlhwR021520-523__fastp.json 
V350002156_L1_TRYlhwR021522-525_1	fastp -i /tmp/44373.1.all.q/5-Amp/data/V350002156_L1_TRYlhwR021522-525_1.fq.gz -I /tmp/44373.1.all.q/5-Amp/data/V350002156_L1_TRYlhwR021522-525_2.fq.gz -o /tmp/44373.1.all.q/5-Amp/data/V350002156_L1_TRYlhwR021522-525_f1.fastq.gz -O /tmp/44373.1.all.q/5-Amp/data/V350002156_L1_TRYlhwR021522-525_f2.fastq.gz -h /tmp/44373.1.all.q/5-Amp/fastp/fastp_V350002156_L1_TRYlhwR021522-525_.html -j /tmp/44373.1.all.q/5-Amp/fastp/V350002156_L1_TRYlhwR021522-525__fastp.json 
V350002156_L1_TRYlhwR021523-526_1	fastp -i /tmp/44374.1.all.q/6-Amp/data/V350002156_L1_TRYlhwR021523-526_1.fq.gz -I /tmp/44374.1.all.q/6-Amp/data/V350002156_L1_TRYlhwR021523-526_2.fq.gz -o /tmp/44374.1.all.q/6-Amp/data/V350002156_L1_TRYlhwR021523-526_f1.fastq.gz -O /tmp/44374.1.all.q/6-Amp/data/V350002156_L1_TRYlhwR021523-526_f2.fastq.gz -h /tmp/44374.1.all.q/6-Amp/fastp/fastp_V350002156_L1_TRYlhwR021523-526_.html -j /tmp/44374.1.all.q/6-Amp/fastp/V350002156_L1_TRYlhwR021523-526__fastp.json 
V350002156_L1_TRYlhwR021524-527_1	fastp -i /tmp/44375.1.all.q/7-Amp/data/V350002156_L1_TRYlhwR021524-527_1.fq.gz -I /tmp/44375.1.all.q/7-Amp/data/V350002156_L1_TRYlhwR021524-527_2.fq.gz -o /tmp/44375.1.all.q/7-Amp/data/V350002156_L1_TRYlhwR021524-527_f1.fastq.gz -O /tmp/44375.1.all.q/7-Amp/data/V350002156_L1_TRYlhwR021524-527_f2.fastq.gz -h /tmp/44375.1.all.q/7-Amp/fastp/fastp_V350002156_L1_TRYlhwR021524-527_.html -j /tmp/44375.1.all.q/7-Amp/fastp/V350002156_L1_TRYlhwR021524-527__fastp.json 
V350002156_L1_TRYlhwR021525-528_1	fastp -i /tmp/44376.1.all.q/8-Amp/data/V350002156_L1_TRYlhwR021525-528_1.fq.gz -I /tmp/44376.1.all.q/8-Amp/data/V350002156_L1_TRYlhwR021525-528_2.fq.gz -o /tmp/44376.1.all.q/8-Amp/data/V350002156_L1_TRYlhwR021525-528_f1.fastq.gz -O /tmp/44376.1.all.q/8-Amp/data/V350002156_L1_TRYlhwR021525-528_f2.fastq.gz -h /tmp/44376.1.all.q/8-Amp/fastp/fastp_V350002156_L1_TRYlhwR021525-528_.html -j /tmp/44376.1.all.q/8-Amp/fastp/V350002156_L1_TRYlhwR021525-528__fastp.json 
V350002156_L1_TRYlhwR021526-529_1	fastp -i /tmp/44377.1.all.q/9-Amp/data/V350002156_L1_TRYlhwR021526-529_1.fq.gz -I /tmp/44377.1.all.q/9-Amp/data/V350002156_L1_TRYlhwR021526-529_2.fq.gz -o /tmp/44377.1.all.q/9-Amp/data/V350002156_L1_TRYlhwR021526-529_f1.fastq.gz -O /tmp/44377.1.all.q/9-Amp/data/V350002156_L1_TRYlhwR021526-529_f2.fastq.gz -h /tmp/44377.1.all.q/9-Amp/fastp/fastp_V350002156_L1_TRYlhwR021526-529_.html -j /tmp/44377.1.all.q/9-Amp/fastp/V350002156_L1_TRYlhwR021526-529__fastp.json 
V350002156_L1_TRYlhwR021527-530_1	fastp -i /tmp/44378.1.all.q/10-Amp/data/V350002156_L1_TRYlhwR021527-530_1.fq.gz -I /tmp/44378.1.all.q/10-Amp/data/V350002156_L1_TRYlhwR021527-530_2.fq.gz -o /tmp/44378.1.all.q/10-Amp/data/V350002156_L1_TRYlhwR021527-530_f1.fastq.gz -O /tmp/44378.1.all.q/10-Amp/data/V350002156_L1_TRYlhwR021527-530_f2.fastq.gz -h /tmp/44378.1.all.q/10-Amp/fastp/fastp_V350002156_L1_TRYlhwR021527-530_.html -j /tmp/44378.1.all.q/10-Amp/fastp/V350002156_L1_TRYlhwR021527-530__fastp.json 
