Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
V350002156_L1_TRYlhwR021518-521	Unknown Library	4010.0	23729381.0	0.0	115268.0	3932.0	23727309.0	0.0	0.999911	2072.0
V350002156_L1_TRYlhwR021519-522	Unknown Library	5228.0	34791653.0	0.0	81244.0	5212.0	34789235.0	0.0	0.99993	2418.0
V350002156_L1_TRYlhwR021520-523	Unknown Library	2065.0	26083974.0	0.0	117363.0	1999.0	26081977.0	0.0	0.999922	1997.0
V350002156_L1_TRYlhwR021522-525	Unknown Library	1995.0	23421935.0	0.0	126711.0	1895.0	23419920.0	0.0	0.999912	2015.0
V350002156_L1_TRYlhwR021523-526	Unknown Library	1937.0	24206355.0	0.0	81443.0	1890.0	24202859.0	0.0	0.999855	3496.0
V350002156_L1_TRYlhwR021524-527	Unknown Library	1736.0	29512470.0	0.0	69714.0	1701.0	29509343.0	0.0	0.999893	3127.0
V350002156_L1_TRYlhwR021525-528	Unknown Library	1499.0	25181400.0	0.0	70733.0	1449.0	25177307.0	0.0	0.999836	4093.0
V350002156_L1_TRYlhwR021526-529	Unknown Library	1446.0	20233101.0	0.0	79656.0	1393.0	20230267.0	0.0	0.999859	2834.0
V350002156_L1_TRYlhwR021527-530	Unknown Library	1599.0	17892533.0	0.0	95391.0	1535.0	17888775.0	0.0	0.999788	3758.0
